iter	RMSE
0	6.928503276
1	6.891360297
2	6.822414644
3	6.753002818
4	6.698030648
5	6.63309684
6	6.579243339
7	6.524441466
8	6.47528226
9	6.453219147
10	6.420004914
11	6.368426158
12	6.314295479
13	6.268571181
14	6.213195419
15	6.170917959
16	6.142633715
17	6.097699124
18	6.054449875
19	6.016737425
20	5.980195895
21	5.939201178
22	5.920092764
23	5.892940901
24	5.859677909
25	5.819441585
26	5.780397239
27	5.744301344
28	5.710494358
29	5.684830146
30	5.654819723
31	5.624563096
32	5.596024635
33	5.566016923
34	5.541472682
35	5.518557864
36	5.501161155
37	5.491728578
38	5.470743405
39	5.443440619
40	5.423141532
41	5.407401187
42	5.390911608
43	5.376436594
44	5.366087729
45	5.346505673
46	5.335936326
47	5.316136035
48	5.302677376
49	5.282062379
50	5.263776968
51	5.246478397
52	5.228481582
53	5.211176132
54	5.196982832
55	5.172756125
56	5.15399741
57	5.147447604
58	5.130440895
59	5.114539571
60	5.098174568
61	5.091350481
62	5.079142672
63	5.06711777
64	5.052301536
65	5.030573644
66	5.019176127
67	5.001541236
68	4.992320849
69	4.982726142
70	4.970564643
71	4.957208269
72	4.94535606
73	4.935864884
74	4.922465026
75	4.908389693
76	4.895400562
77	4.88038683
78	4.86714047
79	4.855373266
80	4.841511092
81	4.83479936
82	4.827518554
83	4.81739871
84	4.808988786
85	4.793849906
86	4.782132863
87	4.778775491
88	4.768038472
89	4.762718638
90	4.752595938
91	4.739787416
92	4.732425103
93	4.725770088
94	4.714071793
95	4.704465489
96	4.698614186
97	4.691134411
98	4.68669776
99	4.681128586
100	4.666353011
101	4.658236172
102	4.655433323
103	4.651207936
104	4.646359837
105	4.639842135
106	4.628552477
107	4.624507241
108	4.620052014
109	4.614975979
110	4.602503596
111	4.597850163
112	4.591416557
113	4.588057448
114	4.576915788
115	4.57149255
116	4.568662775
117	4.564887958
118	4.556510567
119	4.548540363
120	4.5383483
121	4.529501664
122	4.520206767
123	4.516026262
124	4.512472095
125	4.5072827
126	4.501322957
127	4.490133942
128	4.485646549
129	4.478283356
130	4.474466711
131	4.470403466
132	4.464299381
133	4.458170441
134	4.451794753
135	4.444300103
136	4.438678735
137	4.428862824
138	4.419394243
139	4.41375886
140	4.411444346
141	4.407853512
142	4.402869048
143	4.395605833
144	4.389825031
145	4.385204267
146	4.381328166
147	4.375179288
148	4.369451354
149	4.362594691
150	4.358127749
151	4.353640859
152	4.349341934
153	4.344950892
154	4.340285257
155	4.331634254
156	4.329035676
157	4.324691859
158	4.322069414
159	4.316067183
160	4.3115282
161	4.3089037
162	4.301181198
163	4.297896632
164	4.288281331
165	4.284250746
166	4.280790767
167	4.277111732
168	4.272171056
169	4.26899587
170	4.265517789
171	4.261867903
172	4.258320858
173	4.252056092
174	4.24976368
175	4.24392699
176	4.239874794
177	4.234347551
178	4.228934679
179	4.226895722
180	4.221954975
181	4.217873227
182	4.215279841
183	4.207409971
184	4.203714823
185	4.199078138
186	4.19436951
187	4.191603154
188	4.187803482
189	4.18309461
190	4.180818336
191	4.176185921
192	4.172767458
193	4.165855951
194	4.162728072
195	4.160479243
196	4.157467455
197	4.153216944
198	4.148534905
199	4.145752918
200	4.140770786
201	4.139201393
202	4.13528144
203	4.130299871
204	4.123476958
205	4.118528786
206	4.116516909
207	4.114757044
208	4.112236396
209	4.109695319
210	4.106200274
211	4.103431412
212	4.101030037
213	4.098691763
214	4.094983838
215	4.088641266
216	4.083299707
217	4.08142476
218	4.075931963
219	4.072931476
220	4.067775166
221	4.062738703
222	4.060563169
223	4.057657703
224	4.052093646
225	4.045626429
226	4.041891367
227	4.039040007
228	4.036299676
229	4.032081815
230	4.028616591
231	4.025860517
232	4.023171163
233	4.018568293
234	4.01601231
235	4.013535259
236	4.010702561
237	4.008715817
238	4.006226801
239	4.00466881
240	4.000750247
241	3.998638648
242	3.994553212
243	3.991925093
244	3.989168179
245	3.98615289
246	3.983842541
247	3.981169087
248	3.978580554
249	3.976931165
250	3.974346366
251	3.973013749
252	3.966858947
253	3.965289722
254	3.961277465
255	3.958686931
