iter	Passed	Remaining
0	0	251
1	1	206
2	2	201
3	3	201
4	3	194
5	4	197
6	5	188
7	5	185
8	6	182
9	7	179
10	8	179
11	8	176
12	9	174
13	10	173
14	10	170
15	11	174
16	12	175
17	13	176
18	14	175
19	14	173
20	15	171
21	16	170
22	16	169
23	17	168
24	18	167
25	19	170
26	20	169
27	20	169
28	21	169
29	22	170
30	23	169
31	24	170
32	25	170
33	26	171
34	26	170
35	27	168
36	28	166
37	28	165
38	29	163
39	30	162
40	30	162
41	31	160
42	31	158
43	32	156
44	32	153
45	33	151
46	33	149
47	34	148
48	34	147
49	36	148
50	36	146
51	37	145
52	37	143
53	37	141
54	38	140
55	38	138
56	39	136
57	39	134
58	39	133
59	40	131
60	40	130
61	41	128
62	41	127
63	41	125
64	42	124
65	43	124
66	43	123
67	44	122
68	44	121
69	45	120
70	46	119
71	46	118
72	46	117
73	47	116
74	47	115
75	48	114
76	48	113
77	49	112
78	49	111
79	50	111
80	51	110
81	51	110
82	52	109
83	52	108
84	53	107
85	54	106
86	54	105
87	54	104
88	55	103
89	55	102
90	56	101
91	56	100
92	56	99
93	57	99
94	58	98
95	58	97
96	59	97
97	59	96
98	60	95
99	60	95
100	61	94
101	62	94
102	63	93
103	63	92
104	63	91
105	64	91
106	64	90
107	65	89
108	65	88
109	65	87
110	66	86
111	66	85
112	67	84
113	67	84
114	67	83
115	68	82
116	68	81
117	68	80
118	69	79
119	69	78
120	70	78
121	70	77
122	71	76
123	71	76
124	72	75
125	72	75
126	73	74
127	73	73
128	74	72
129	74	72
130	75	71
131	76	71
132	76	70
133	77	70
134	77	69
135	77	68
136	78	68
137	78	67
138	79	66
139	79	65
140	80	65
141	80	64
142	80	63
143	81	63
144	81	62
145	81	61
146	82	61
147	82	60
148	83	59
149	83	58
150	83	58
151	84	57
152	85	57
153	85	56
154	86	56
155	86	55
156	87	54
157	87	54
158	88	53
159	88	53
160	89	52
161	90	52
162	90	51
163	91	51
164	91	50
165	91	49
166	92	49
167	92	48
168	93	47
169	93	47
170	93	46
171	94	46
172	94	45
173	95	44
174	95	44
175	95	43
176	96	42
177	96	42
178	97	41
179	97	41
180	98	40
181	98	40
182	99	39
183	99	39
184	100	38
185	100	37
186	101	37
187	101	36
188	102	36
189	103	35
190	103	35
191	104	34
192	104	34
193	105	33
194	105	33
195	106	32
196	106	31
197	106	31
198	107	30
199	107	30
200	107	29
201	108	28
202	108	28
203	108	27
204	109	27
205	109	26
206	110	26
207	110	25
208	110	24
209	111	24
210	111	23
211	112	23
212	112	22
213	113	22
214	113	21
215	113	21
216	114	20
217	114	20
218	115	19
219	116	19
220	116	18
221	117	17
222	117	17
223	118	16
224	118	16
225	119	15
226	119	15
227	119	14
228	120	14
229	120	13
230	120	13
231	121	12
232	121	12
233	121	11
234	122	10
235	122	10
236	123	9
237	123	9
238	123	8
239	124	8
240	124	7
241	125	7
242	125	6
243	125	6
244	126	5
245	126	5
246	127	4
247	127	4
248	128	3
249	128	3
250	129	2
251	130	2
252	130	1
253	131	1
254	131	0
255	132	0
